iata,name,city,state,country,lat,long,dst,tz,utc_offset
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82921556,-116.5062531,A,America/Los_Angeles,-7.0
PTV,Porterville Municipal,Porterville,CA,USA,36.02960778,-119.0627311,,America/Los_Angeles,-7.0
PVF,Placerville,Placerville,CA,USA,38.72421806,-120.753325,,America/Los_Angeles,-7.0
Q17,Boonville,Boonville,CA,USA,39.0126775,-123.3827864,,America/Los_Angeles,-7.0
Q21,Brownsville,Brownsville,CA,USA,39.45544417,-121.2913511,,America/Los_Angeles,-7.0
Q25,Dinsmore,Dinsmore,CA,USA,40.49291944,-123.5997589,,America/Los_Angeles,-7.0
Q31,Sequoia ,Visalia,CA,USA,36.44856139,-119.31900559999998,,America/Los_Angeles,-7.0
Q49,Firebaugh,Firebaugh,CA,USA,36.85998861,-120.4644675,,America/Los_Angeles,-7.0
Q53,Franklin ,Franklin,CA,USA,38.30491306,-121.4296736,,America/Los_Angeles,-7.0
Q61,Georgetown,Georgetown,CA,USA,38.92111389,-120.8647944,,America/Los_Angeles,-7.0
Q68,Pine Mountain Lake,Groveland,CA,USA,37.86166667,-120.1778889,,America/Los_Angeles,-7.0
Q72,Hayfork,Hayfork,CA,USA,40.54708833,-123.1816953,,America/Los_Angeles,-7.0
Q84,Mendota,Mendota,CA,USA,36.75800528,-120.3712794,,America/Los_Angeles,-7.0
Q88,Paradise Skypark,Paradise,CA,USA,39.70960639,-121.6163617,,America/Los_Angeles,-7.0
Q94,Rio Linda,Rio Linda,CA,USA,38.67601389,-121.4455092,,America/Los_Angeles,-7.0
Q95,Ruth,Ruth,CA,USA,40.21125917,-123.2975231,,America/Los_Angeles,-7.0
Q99,South County  of Santa Clara Co,San Martin,CA,USA,37.08158611,-121.59680559999998,,America/Los_Angeles,-7.0
RAL,Riverside Municipal Airport,Riverside,CA,USA,33.95187528,-117.4451017,A,America/Los_Angeles,-7.0
RBL,Red Bluff Municipal Airport,Red Bluff,CA,USA,40.15065667,-122.2522903,A,America/Los_Angeles,-7.0
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898361,-122.2934019,A,America/Los_Angeles,-7.0
RHV,Reid-Hillview Airport of Santa Clara County,San Jose,CA,USA,37.33287306,-121.8197947,A,America/Los_Angeles,-7.0
RIU,Rancho Murieta,Rancho Murieta,CA,USA,38.4887975,-121.1024447,,America/Los_Angeles,-7.0
RIV,March ARB Airport,Riverside,CA,USA,33.88057333,-117.2594836,A,America/Los_Angeles,-7.0
RNM,Ramona,Ramona,CA,USA,33.038905,-116.9136392,,America/Los_Angeles,-7.0
SAC,Sacramento Executive Airport,Sacramento,CA,USA,38.51252389,-121.4934689,A,America/Los_Angeles,-7.0
SAN,San Diego International Airport,San Diego,CA,USA,32.73355611,-117.1896567,A,America/Los_Angeles,-7.0
SBA,Santa Barbara Municipal Airport,Santa Barbara,CA,USA,34.42621194,-119.8403733,A,America/Los_Angeles,-7.0
SBD,San Bernardino International Airport,San Bernardino,CA,USA,34.09535361,-117.2348742,A,America/Los_Angeles,-7.0
SBP,San Luis County Regional Airport,San Luis Obispo,CA,USA,35.23705806,-120.6423931,A,America/Los_Angeles,-7.0
SCK,Stockton Metropolitan Airport,Stockton,CA,USA,37.89426694,-121.2386203,A,America/Los_Angeles,-7.0
SDM,Brown Field Municipal Airport,San Diego,CA,USA,32.57230556,-116.98025,A,America/Los_Angeles,-7.0
SEE,Gillespie Field,San Diego (El Cajon),CA,USA,32.82623111,-116.9724497,A,America/Los_Angeles,-7.0
SFO,San Francisco International Airport,San Francisco,CA,USA,37.61900194,-122.3748433,A,America/Los_Angeles,-7.0
SIY,Siskiyou County,Montague,CA,USA,41.78144167,-122.4681094,,America/Los_Angeles,-7.0
SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,USA,37.36186194,-121.9290089,A,America/Los_Angeles,-7.0
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542167,-121.5907669,A,America/Los_Angeles,-7.0
SMO,Santa Monica Municipal Airport,Santa Monica,CA,USA,34.01582194,-118.4512961,A,America/Los_Angeles,-7.0
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,CA,USA,34.89924833,-120.4575825,A,America/Los_Angeles,-7.0
SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,USA,33.67565861,-117.86822250000002,A,America/Los_Angeles,-7.0
SNS,Salinas Municipal Airport,Salinas,CA,USA,36.66279222,-121.6063603,\N,America/Los_Angeles,-7.0
SQL,San Carlos Airport,San Carlos,CA,USA,37.511855,-122.2495236,A,America/Los_Angeles,-7.0
STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,CA,USA,38.50897694,-122.8128803,A,America/Los_Angeles,-7.0
SVE,Susanville Municipal,Susanville,CA,USA,40.37684111,-120.5730033,,America/Los_Angeles,-7.0
SZP,Santa Paula,Santa Paula,CA,USA,34.34722167,-119.061215,,America/Los_Angeles,-7.0
TCY,Tracy Municipal,Tracy,CA,USA,37.68910778,-121.4418172,,America/Los_Angeles,-7.0
TLR,Mefford ,Tulare,CA,USA,36.15630556,-119.32616670000002,,America/Los_Angeles,-7.0
TNP,Twentynine Palms,Twentynine Palms,CA,USA,34.13208528,-115.94583190000002,,America/Los_Angeles,-7.0
TOA,Zamperini Field,Torrance,CA,USA,33.8033775,-118.3396,A,America/Los_Angeles,-7.0
TRK,Juwata Airport,Truckee,CA,USA,39.32004222,-120.1395628,N,America/Los_Angeles,-7.0
TRM,Jacqueline Cochran Regional Airport,Palm Springs,CA,USA,33.62789944,-116.1601194,A,America/Los_Angeles,-7.0
TSP,Tehachapi Municipal,Tehachapi,CA,USA,35.13497222,-118.43925,,America/Los_Angeles,-7.0
TVL,Lake Tahoe Airport,South Lake Tahoe,CA,USA,38.89388167,-119.9953347,A,America/Los_Angeles,-7.0
UDD,Bermuda Dunes Airport,Palm Springs,CA,USA,33.7484375,-116.2748133,A,America/Los_Angeles,-7.0
UKI,Ukiah Municipal Airport,Ukiah,CA,USA,39.12595722,-123.200855,\N,America/Los_Angeles,-7.0
VCB,Nut Tree,Vacaville,CA,USA,38.37675167,-121.962455,,America/Los_Angeles,-7.0
VCV,Southern California Logistics Airport,Victorville,CA,USA,34.593225,-117.3794667,A,America/Los_Angeles,-7.0
VIS,Visalia Municipal Airport,Visalia,CA,USA,36.31866667,-119.3928889,A,America/Los_Angeles,-7.0
VNY,Van Nuys Airport,Van Nuys,CA,USA,34.20980972,-118.4899733,A,America/Los_Angeles,-7.0
WHP,Whiteman Airport,Los Angeles,CA,USA,34.25932528,-118.4134331,A,America/Los_Angeles,-7.0
WJF,General WM J Fox Airfield,Lancaster,CA,USA,34.74095944,-118.2189489,A,America/Los_Angeles,-7.0
WLW,Willows-Glenn County,Willows,CA,USA,39.51635389,-122.2175106,,America/Los_Angeles,-7.0
WVI,Watsonville Municipal Airport,Watsonville,CA,USA,36.93573,-121.7896178,A,America/Los_Angeles,-7.0
